"","Canton_num","Days_Difference","Type_num","Customer_Segment_num","Category_num","Nr_rooms","Package_Product_num","GDP_2020_21","GDP_per","Population","Area_km2","Density","Size_m2","Price_Gross"
"270",3,13,1,2,1,5.5,2,149004,96359,1553423,1729,898,116,1890
"271",3,55,1,1,1,4.5,1,149004,96359,1553423,1729,898,160,2715
"272",3,2,1,1,1,2,1,149004,96359,1553423,1729,898,50,920
"273",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,105,1990
"274",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,56,2180
"275",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,116,2100
"276",3,23,1,2,1,2,4,149004,96359,1553423,1729,898,55,1458
"277",3,0,1,1,1,4,1,149004,96359,1553423,1729,898,101,1730
"278",3,2,1,1,1,4.5,1,149004,96359,1553423,1729,898,115,1000
"279",3,22.0416666666667,1,1,2,7,1,149004,96359,1553423,1729,898,1000,7800
"280",3,1,1,1,1,3,1,149004,96359,1553423,1729,898,76,2970
"281",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,98,1200
"282",3,2,1,1,1,4.5,1,149004,96359,1553423,1729,898,117,900
"283",3,12,1,1,1,2.5,1,149004,96359,1553423,1729,898,68,2850
"284",3,24,1,1,1,3.5,1,149004,96359,1553423,1729,898,88,1713
"285",3,262,1,2,1,4.5,4,149004,96359,1553423,1729,898,127,3918
"286",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,115,1600
"287",3,45,1,2,1,2.5,2,149004,96359,1553423,1729,898,60,2650
"288",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,117,700
"289",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,65,700
"290",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,122,1000
"291",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,120,1100
"292",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,100,1000
"293",3,13,1,1,1,3.5,1,149004,96359,1553423,1729,898,108,1980
"294",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,123,2850
"295",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,122,1000
"296",3,0,1,1,1,1.5,1,149004,96359,1553423,1729,898,42,930
"297",3,50,1,2,1,1.5,4,149004,96359,1553423,1729,898,30,1295
"298",3,21.0416666666667,1,1,1,4.5,1,149004,96359,1553423,1729,898,113,5500
"299",3,22,1,2,1,2,4,149004,96359,1553423,1729,898,42,1100
"300",3,1,1,2,1,2,3,149004,96359,1553423,1729,898,54,1895
"301",3,34,1,2,1,4.5,3,149004,96359,1553423,1729,898,90,1485
"302",3,0,1,1,1,2.5,1,149004,96359,1553423,1729,898,64,920
"303",3,6,1,1,1,3.5,1,149004,96359,1553423,1729,898,72,1580
"304",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,98,720
"305",3,0,1,1,1,4.5,1,149004,96359,1553423,1729,898,120,1000
"306",3,3,1,1,1,2,1,149004,96359,1553423,1729,898,48,1280
"307",3,20,1,2,1,3.5,4,149004,96359,1553423,1729,898,72,1652
"308",3,31,1,1,1,3,1,149004,96359,1553423,1729,898,54,1074
"309",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,96,920
"310",3,3,1,1,1,4.5,1,149004,96359,1553423,1729,898,163,7150
"311",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,105,900
"312",3,28,1,2,1,3,3,149004,96359,1553423,1729,898,60,1670
"313",3,33,1,2,1,3.5,4,149004,96359,1553423,1729,898,75,1552
"314",3,0,1,1,1,3.5,1,149004,96359,1553423,1729,898,98,1100
"315",3,6,1,2,1,5.5,3,149004,96359,1553423,1729,898,105,2850
"316",3,14,1,1,1,3.5,1,149004,96359,1553423,1729,898,96,2520
"317",3,90.0416666666667,1,2,1,3.5,2,149004,96359,1553423,1729,898,75,1400
