PROPERTY_ID;FIRST_DAY_ONLINE;LAST_DAY_ONLINE;OFFER_TYPE;CUSTOMER_ID;CUSTOMER_SEGMENT;CATEGORY;PRICE_GROSS;SIZE_M2;GEO_CANTON;NUMBER_OF_ROOMS;PACKAGE_ID;PACKAGE_PRODUCT;;;;;;;;;;;;;;
1dy.wwgv6;2022-04-29;2022-05-07;RENT;448416;private;APPT;2100;88;AG;4,5;33;premium;;;;;;;;;;;;;;
1e3.dx4a9;2022-05-30;2022-07-22;RENT;449218;professional;APPT;1740;80;VD;5;11;subscription;;;;;;;;;;;;;;
1ea.sz8xz;2022-08-13;2022-08-13;RENT;516;professional;APPT;950;44;ZH;1,5;13;subscription;;;;;;;;;;;;;;
1ei.pn8nv;2022-09-10;2022-09-14;BUY;444508;professional;HOUSE;998000;153;ZH;5,5;28;subscription;;;;;;;;;;;;;;
1ew.lw9e3;2022-05-05;2022-05-24;RENT;26208;professional;APPT;2180;123;AG;4,5;6;subscription;;;;;;;;;;;;;;
1fk.zyfu2;2022-05-24;2022-05-24;RENT;79924;professional;INDUS;;38000;SZ;;19;subscription;;;;;;;;;;;;;;
1ft.49980;2022-12-21;2023-01-09;BUY;447930;professional;APPT;875000;;SG;3,5;7;subscription;;;;;;;;;;;;;;
1gj.rkqj6;2022-11-18;2022-11-24;BUY;196709;professional;HOUSE;580000;91;ZH;3,5;5;subscription;;;;;;;;;;;;;;
1gx.hv1t1;2022-04-27;2022-05-03;RENT;389232;private;INDUS;375;28;ZH;1;32;middle;;;;;;;;;;;;;;
1h2.xztv8;2022-07-07;2022-07-13;RENT;727;professional;APPT;2770;103;ZH;4,5;22;subscription;;;;;;;;;;;;;;
1h9.tpsm8;2022-11-24;2022-12-11;BUY;447930;professional;APPT;875000;;SG;3,5;7;subscription;;;;;;;;;;;;;;
1hb.0c175;2021-07-16;2021-07-23;BUY;289017;professional;APPT;2060000;137;ZH;5,5;21;subscription;;;;;;;;;;;;;;
1ib.o8hex;2021-08-12;2021-08-19;RENT;437347;private;APPT;1420;100;SG;2,5;31;basic;;;;;;;;;;;;;;
1ie.a08vf;2022-12-23;2022-12-23;RENT;441655;professional;APPT;840;;AG;1;25;subscription;;;;;;;;;;;;;;
1ig.9c42g;2022-09-15;2022-09-22;RENT;447636;professional;APPT;2740;120;ZG;5,5;6;subscription;;;;;;;;;;;;;;
1j1.i4hag;2022-11-05;2022-11-05;RENT;600;professional;APPT;900;100;SH;3,5;18;subscription;;;;;;;;;;;;;;
1ji.mzwjf;2023-01-19;2023-01-19;BUY;397609;professional;APPT;839000;87;ZH;3,5;29;subscription;;;;;;;;;;;;;;
1jv.xefqy;2021-09-14;2021-10-27;RENT;234909;professional;INDUS;2500;183;BS;;11;subscription;;;;;;;;;;;;;;
1ka.1yi50;2023-01-16;2023-01-16;RENT;395655;professional;APPT;2200;;VD;5,5;26;subscription;;;;;;;;;;;;;;
1ki.k0cbe;2022-02-18;2022-04-08;RENT;234909;professional;APPT;1600;85;BS;2,5;11;subscription;;;;;;;;;;;;;;
1l5.92h4c;2022-01-03;2022-01-09;RENT;398791;private;APPT;2850;105;ZH;5,5;31;basic;;;;;;;;;;;;;;
1l5.ikms2;2022-10-23;2022-11-24;RENT;119009;professional;PARK;140;;ZH;;30;subscription;;;;;;;;;;;;;;
1lo.i66tg;2021-08-16;2021-08-16;RENT;392231;professional;APPT;;;SH;2,5;19;subscription;;;;;;;;;;;;;;
1lu.7xsqo;2022-10-27;2022-11-07;BUY;447930;professional;HOUSE;940000;161;SG;6;7;subscription;;;;;;;;;;;;;;
1m1.18gdz;2021-03-28;2021-04-03;RENT;446188;private;APPT;1080;24;ZH;1;31;basic;;;;;;;;;;;;;;
1mx.wapnb;2022-10-20;2022-10-20;BUY;483334;professional;APPT;325000;54;VS;2,5;17;subscription;;;;;;;;;;;;;;
1ne.jo4tn;2022-02-04;2022-02-25;RENT;415298;professional;INDUS;370;16;AG;;9;subscription;;;;;;;;;;;;;;
1nh.a484u;2023-01-17;2023-01-17;RENT;594;professional;APPT;1790;73;TG;3,5;16;subscription;;;;;;;;;;;;;;
1np.6ku43;2022-08-13;2022-08-13;RENT;516;professional;APPT;800;98;SH;3,5;13;subscription;;;;;;;;;;;;;;
1nv.2bxlr;2022-11-29;2022-12-11;BUY;447930;professional;HOUSE;720000;50;SG;3;7;subscription;;;;;;;;;;;;;;
1ny.onuvn;2021-05-01;2021-05-14;RENT;288022;private;APPT;2220;85;ZH;3,5;33;premium;;;;;;;;;;;;;;
1p6.rp5kz;2023-01-09;2023-01-19;BUY;447930;professional;HOUSE;720000;50;SG;3;7;subscription;;;;;;;;;;;;;;
1pg.crsry;2021-11-12;2021-12-15;RENT;444622;private;APPT;1440;80;AG;3,5;32;middle;;;;;;;;;;;;;;
1qi.zweu4;2022-09-15;2022-09-22;BUY;447930;professional;HOUSE;2340000;126;ZH;5,5;7;subscription;;;;;;;;;;;;;;
1r1.zm5q6;2022-09-15;2022-09-22;BUY;447930;professional;HOUSE;940000;161;SG;5,5;7;subscription;;;;;;;;;;;;;;
1r5.ks3ly;2022-11-05;2022-11-05;RENT;600;professional;APPT;1000;126;GR;4,5;18;subscription;;;;;;;;;;;;;;
1rs.f4s0d;2022-11-05;2022-11-05;RENT;600;professional;APPT;1000;121;TI;4,5;18;subscription;;;;;;;;;;;;;;
1s0.gnls3;2023-01-20;2023-01-20;RENT;397118;professional;HOUSE;1800;150;TI;4;27;subscription;;;;;;;;;;;;;;
1st.ydfjt;2022-05-10;2022-06-10;BUY;290536;professional;HOUSE;1350000;185;TI;5,5;25;subscription;;;;;;;;;;;;;;
1te.ypxuc;2022-06-01;2022-09-29;RENT;358;professional;APPT;2580;115;ZH;4,5;7;subscription;;;;;;;;;;;;;;
1tt.6rnto;2022-10-25;2022-11-22;RENT;386619;professional;APPT;2050;90;SG;3,5;9;subscription;;;;;;;;;;;;;;
1us.93fym;2022-05-12;2023-01-23;RENT;290536;professional;APPT;1930;108;TI;3,5;25;subscription;;;;;;;;;;;;;;
1vi.69ibl;2022-07-04;2022-07-21;RENT;70724;professional;GASTRO;;375;LU;;17;subscription;;;;;;;;;;;;;;
1vj.bscsg;2022-11-24;2022-12-11;BUY;447930;professional;HOUSE;3290000;;ZH;6,5;7;subscription;;;;;;;;;;;;;;
1wl.vblue;2022-07-08;2022-07-22;BUY;111609;professional;APPT;1640000;113;ZH;4,5;28;subscription;;;;;;;;;;;;;;
1wz.voetj;2022-06-07;2022-07-04;RENT;447319;professional;APPT;1320;59;LU;3;4;subscription;;;;;;;;;;;;;;
1x7.wyb2s;2022-04-28;2022-04-28;RENT;719;professional;PARK;;;LU;1;21;subscription;;;;;;;;;;;;;;
1xa.zzgiy;2022-08-13;2022-08-13;RENT;516;professional;APPT;1200;98;ZH;3,5;13;subscription;;;;;;;;;;;;;;
1xf.2l6yf;2022-11-05;2022-11-05;RENT;600;professional;APPT;1100;121;ZH;4,5;18;subscription;;;;;;;;;;;;;;
1yg.x1ua0;2022-08-27;2022-08-27;RENT;439242;professional;APPT;750;65;BS;2,5;22;subscription;;;;;;;;;;;;;;
1zb.deaxe;2022-08-18;2022-08-18;BUY;104517;professional;APPT;3060000;266;TI;6,5;22;subscription;;;;;;;;;;;;;;
1zh.fx5d2;2022-12-05;2022-12-22;RENT;572;professional;SECONDARY;300;;ZH;;15;subscription;;;;;;;;;;;;;;
1zz.6l4fs;2022-11-05;2022-11-05;RENT;600;professional;APPT;700;70;AG;2,5;18;subscription;;;;;;;;;;;;;;
204.4zrtx;2022-11-05;2022-11-05;RENT;600;professional;APPT;950;100;ZH;3,5;18;subscription;;;;;;;;;;;;;;
204.c0xur;2022-10-10;2022-10-10;BUY;290536;professional;HOUSE;505000;160;TI;8;25;subscription;;;;;;;;;;;;;;
20f.rwivm;2021-06-23;2021-07-24;RENT;295586;professional;APPT;6950;212;SZ;5,5;26;subscription;;;;;;;;;;;;;;
20j.nogq3;2022-04-06;2022-05-05;BUY;442313;private;APPT;1050000;95;ZH;4,5;31;basic;;;;;;;;;;;;;;
20l.cs73a;2021-11-09;2021-11-19;RENT;487908;professional;APPT;1650;65;ZH;3,5;20;subscription;;;;;;;;;;;;;;
20n.kr3w4;2022-09-21;2022-12-22;RENT;397118;professional;APPT;1100;52;TI;2,5;27;subscription;;;;;;;;;;;;;;
20o.879ho;2022-10-17;2022-10-31;RENT;487908;professional;APPT;2550;106;AG;4,5;20;subscription;;;;;;;;;;;;;;
20p.37mtu;2022-09-26;2022-10-29;RENT;206711;professional;APPT;950;25;VS;1,5;8;subscription;;;;;;;;;;;;;;
20z.3dljk;2022-09-22;2022-09-28;BUY;447930;professional;APPT;590000;90;SG;3,5;7;subscription;;;;;;;;;;;;;;
212.voza5;2022-11-05;2022-11-05;RENT;600;professional;APPT;700;76;SZ;2,5;18;subscription;;;;;;;;;;;;;;
219.gt3ym;2022-04-29;2022-05-20;RENT;116412;professional;APPT;1390;56;ZH;2;29;subscription;;;;;;;;;;;;;;
21g.3q7ly;2021-09-30;2021-11-17;RENT;449087;private;INDUS;;136;ZH;3,5;33;premium;;;;;;;;;;;;;;
21k.fpbub;2022-11-05;2022-11-05;RENT;600;professional;APPT;650;76;UR;2,5;18;subscription;;;;;;;;;;;;;;
21n.ymw58;2022-10-14;2022-10-14;BUY;398556;professional;HOUSE;1170000;160;ZH;5,5;1;subscription;;;;;;;;;;;;;;
226.rm02w;2022-11-16;2022-11-24;RENT;447930;professional;GASTRO;2000;;AG;;7;subscription;;;;;;;;;;;;;;
226.ww4a1;2022-09-08;2022-09-15;BUY;447930;professional;HOUSE;940000;161;SG;5,5;7;subscription;;;;;;;;;;;;;;
22g.3apx5;2022-06-24;2022-07-26;BUY;415887;professional;HOUSE;1575000;251;BL;10,5;10;subscription;;;;;;;;;;;;;;
239.i80gt;2022-12-20;2022-12-20;RENT;295699;professional;APPT;2850;123;ZH;4,5;27;subscription;;;;;;;;;;;;;;
23a.mdwf1;2022-09-28;2022-10-10;BUY;447930;professional;APPT;1550000;;SG;4,5;7;subscription;;;;;;;;;;;;;;
23d.egko2;2023-01-19;2023-01-19;RENT;447930;professional;GASTRO;2000;;AG;;7;subscription;;;;;;;;;;;;;;
24e.tio5v;2022-11-04;2022-11-12;RENT;394363;private;APPT;2550;180;SZ;3,5;32;middle;;;;;;;;;;;;;;
24i.pfxqq;2022-08-13;2022-08-13;RENT;516;professional;APPT;500;44;FR;1,5;13;subscription;;;;;;;;;;;;;;
24u.youta;2023-01-23;2023-01-23;RENT;441655;professional;APPT;2180;56;ZH;2,5;25;subscription;;;;;;;;;;;;;;
259.r1der;2022-09-01;2022-09-14;RENT;594;professional;APPT;2650;148;TG;4,5;16;subscription;;;;;;;;;;;;;;
25d.a52qj;2022-12-06;2022-12-06;BUY;70721;professional;HOUSE;3650000;464;LU;;16;subscription;;;;;;;;;;;;;;
25m.fyz48;2022-09-22;2022-09-28;BUY;447930;professional;HOUSE;560000;150;TI;5;7;subscription;;;;;;;;;;;;;;
278.ium5o;2022-11-09;2022-11-29;BUY;398556;professional;APPT;1480000;105;ZH;4,5;1;subscription;;;;;;;;;;;;;;
27b.kqft2;2022-04-20;2022-04-21;RENT;447636;professional;APPT;1760;;ZG;2,5;6;subscription;;;;;;;;;;;;;;
27u.1cxbn;2021-04-14;2021-04-20;RENT;414079;private;APPT;1390;53;BL;2,5;33;premium;;;;;;;;;;;;;;
